Date/Time,CPU Usage %,Temperature C
2022-03-29 13:43:38.433965,10.4,54
2022-03-29 13:43:48.741916,0.2,54
2022-03-29 13:43:59.013849,0.2,53
2022-03-29 13:44:09.290967,0.4,54
2022-03-29 13:44:19.556224,0.4,53.5
2022-03-29 13:44:29.823421,0.4,53
2022-03-29 13:44:40.248688,9,53.5
2022-03-29 13:44:50.446452,0.4,54.5
2022-03-29 13:45:00.710184,0.2,53.5
2022-03-29 13:45:10.911321,0.5,53.5
2022-03-29 13:45:21.180282,21.3,56
2022-03-29 13:45:31.445653,40.2,57.9
2022-03-29 13:45:41.823345,23.8,56.9
2022-03-29 13:45:52.085035,0.4,56
2022-03-29 13:46:02.280438,0.4,55.5
2022-03-29 13:46:12.500116,0.4,55.5
2022-03-29 13:46:22.782884,0.3,54.5
2022-03-29 13:46:33.062969,0.8,55
2022-03-29 13:46:43.305783,0.5,54
2022-03-29 13:46:53.584572,0.3,54.5
2022-03-29 13:47:03.804526,0.3,55
2022-03-29 13:47:14.007813,7.2,55
2022-03-29 13:47:24.272572,2.7,54.5
2022-03-29 13:47:34.536648,10.1,55
2022-03-29 13:47:44.784272,22,56.9
2022-03-29 13:47:54.967659,2.5,56
2022-03-29 13:48:05.146290,0.6,55.5
2022-03-29 13:48:15.415719,4.6,56.4
2022-03-29 13:48:25.601407,17.7,57.4
2022-03-29 13:48:35.899336,0.7,55
2022-03-29 13:48:46.175448,0.4,55.5
2022-03-29 13:48:56.525734,13.7,57.9
2022-03-29 13:49:06.775497,1.3,56
2022-03-29 13:49:17.045776,0.9,56
2022-03-29 13:49:27.320120,0.9,55.5
2022-03-29 13:49:37.526357,7,56
2022-03-29 13:49:47.797551,0.8,55
2022-03-29 13:49:58.004436,6.3,55.5
2022-03-29 13:50:08.265765,8.4,57.9
2022-03-29 13:50:18.436688,18,58.4
2022-03-29 13:50:28.675748,26.4,58.4
2022-03-29 13:50:38.904364,1.7,56.4
2022-03-29 13:50:49.176443,0.8,56.4
2022-03-29 13:50:59.448420,1.9,56.4
2022-03-29 13:51:09.630688,6.6,56.4
2022-03-29 13:51:19.885723,13.6,57.9
2022-03-29 13:51:30.144832,0.8,56
2022-03-29 13:51:40.466978,0.7,56.4
2022-03-29 13:51:50.742232,1,55.5
2022-03-29 13:52:00.952246,7.1,56.4
2022-03-29 13:52:11.198456,14.5,56.9
2022-03-29 13:52:21.467160,2.7,56.4
2022-03-29 13:52:31.745302,0.5,56.4
2022-03-29 13:52:42.075400,1,56
2022-03-29 13:52:52.445716,3.7,56.4
2022-03-29 13:53:02.695783,22.1,59.9
2022-03-29 13:53:12.970620,17.6,58.4
2022-03-29 13:53:23.257806,17.8,59.9
2022-03-29 13:53:33.440971,25.1,59.9
2022-03-29 13:53:43.675736,25.4,61.3
2022-03-29 13:53:53.940650,6.9,58.4
2022-03-29 13:54:04.135736,14.2,60.8
2022-03-29 13:54:14.295747,25.6,61.3
2022-03-29 13:54:24.465739,22.3,60.8
2022-03-29 13:54:34.725805,24.5,60.8
2022-03-29 13:54:44.887380,18.4,61.3
2022-03-29 13:54:55.135764,31.3,63.3
2022-03-29 13:55:05.311053,26.9,63.7
2022-03-29 13:55:15.498268,24.2,61.8
2022-03-29 13:55:25.815764,31.6,61.3
2022-03-29 13:55:36.062720,98.7,67.2
2022-03-29 13:55:46.315756,99.6,70.1
2022-03-29 13:55:56.485746,99.8,70.1
2022-03-29 13:56:06.675763,97,69.6
2022-03-29 13:56:16.865776,76.4,70.6
2022-03-29 13:56:27.095758,99,71.5
2022-03-29 13:56:37.365792,93.1,71.5
2022-03-29 13:56:47.575509,53,67.2
2022-03-29 13:56:57.845794,49.5,70.1
2022-03-29 13:57:08.125740,90.6,73
2022-03-29 13:57:18.313165,64.5,70.1
2022-03-29 13:57:28.505762,28.8,68.1
2022-03-29 13:57:38.746688,23.6,66.7
2022-03-29 13:57:49.119838,25,67.6
2022-03-29 13:57:59.316149,25.2,67.6
2022-03-29 13:58:09.575731,20.4,67.2
2022-03-29 13:58:19.755749,25.2,66.7
2022-03-29 13:58:30.019989,25.2,66.2
2022-03-29 13:58:40.251990,25.3,67.2
2022-03-29 13:58:50.425735,25.2,64.7
2022-03-29 13:59:00.776173,25.1,65.7
2022-03-29 13:59:11.015738,25.2,65.2
2022-03-29 13:59:21.184467,25.2,66.7
2022-03-29 13:59:31.425747,25.3,65.2
2022-03-29 13:59:41.641907,25.2,65.7
2022-03-29 13:59:51.820133,25.2,65.7
2022-03-29 14:00:02.016359,25,64.7
2022-03-29 14:00:12.195738,25.3,65.2
2022-03-29 14:00:22.375133,25.2,64.7
2022-03-29 14:00:32.549766,25.3,65.7
2022-03-29 14:00:42.775746,25.2,65.2
2022-03-29 14:00:52.955769,25.4,65.2
2022-03-29 14:01:03.136363,25.7,64.7
2022-03-29 14:01:13.335753,16.5,65.2
2022-03-29 14:01:23.526470,22.7,65.2
2022-03-29 14:01:33.695743,25.2,65.2
2022-03-29 14:01:43.871988,20.5,64.2
2022-03-29 14:01:54.052630,25.3,63.7
2022-03-29 14:02:04.228507,25.3,65.2
2022-03-29 14:02:14.409656,25.2,65.2
2022-03-29 14:02:24.591112,25.2,65.2
2022-03-29 14:02:34.787919,25.3,66.7
2022-03-29 14:02:44.984399,26.3,64.7
2022-03-29 14:02:55.170400,25.3,65.7
2022-03-29 14:03:05.335737,25.2,64.7
2022-03-29 14:03:15.525747,25.1,64.2
2022-03-29 14:03:25.776746,25,64.7
2022-03-29 14:03:36.007796,24.2,64.7
2022-03-29 14:03:46.185736,25.2,64.7
2022-03-29 14:03:56.365764,25.1,64.7
2022-03-29 14:04:06.705725,25.2,65.7
2022-03-29 14:04:16.972147,25.2,65.2
2022-03-29 14:04:27.154035,2.2,61.8
2022-03-29 14:04:37.439984,0.7,61.3
2022-03-29 14:04:47.628516,0.5,59.4
2022-03-29 14:04:57.832336,0.3,60.3
2022-03-29 14:05:08.028223,0.4,58.9
2022-03-29 14:05:18.238800,0.6,58.9
2022-03-29 14:05:28.517026,0.9,58.9
